"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 21:43:43 GMT 2021","Wed Aug 11 21:44:15 GMT 2021","32260","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 21:42:33 GMT 2021","Wed Aug 11 21:42:57 GMT 2021","24346","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 21:42:57 GMT 2021","Wed Aug 11 21:43:17 GMT 2021","19665","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 21:41:21 GMT 2021","Wed Aug 11 21:41:49 GMT 2021","28416","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 21:41:49 GMT 2021","Wed Aug 11 21:41:50 GMT 2021","994","test-conduit","test_1_homepage","","","","test_homepage",""
"failed","Wed Aug 11 21:43:17 GMT 2021","Wed Aug 11 21:43:43 GMT 2021","26418","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Wed Aug 11 21:44:36 GMT 2021","Wed Aug 11 21:45:04 GMT 2021","28159","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Wed Aug 11 21:40:49 GMT 2021","Wed Aug 11 21:41:21 GMT 2021","31519","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Wed Aug 11 21:44:15 GMT 2021","Wed Aug 11 21:44:36 GMT 2021","20342","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 21:40:17 GMT 2021","Wed Aug 11 21:40:49 GMT 2021","32440","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 21:42:11 GMT 2021","Wed Aug 11 21:42:33 GMT 2021","21467","test-conduit","test_3_registration","","","","test_registration",""
"passed","Wed Aug 11 21:41:50 GMT 2021","Wed Aug 11 21:42:11 GMT 2021","21042","test-conduit","test_2_cookies","","","","test_cookies",""
