"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 19:57:25 GMT 2021","Wed Aug 11 19:57:55 GMT 2021","29838","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 19:57:55 GMT 2021","Wed Aug 11 19:57:57 GMT 2021","2461","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Wed Aug 11 19:59:06 GMT 2021","Wed Aug 11 19:59:28 GMT 2021","21383","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 19:56:16 GMT 2021","Wed Aug 11 19:56:52 GMT 2021","36176","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 20:00:49 GMT 2021","Wed Aug 11 20:01:18 GMT 2021","28394","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Wed Aug 11 19:58:20 GMT 2021","Wed Aug 11 19:58:41 GMT 2021","21935","test-conduit","test_3_registration","","","","test_registration",""
"failed","Wed Aug 11 19:59:28 GMT 2021","Wed Aug 11 19:59:55 GMT 2021","27301","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Wed Aug 11 19:58:41 GMT 2021","Wed Aug 11 19:59:06 GMT 2021","24792","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 19:59:55 GMT 2021","Wed Aug 11 20:00:28 GMT 2021","33358","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 20:00:28 GMT 2021","Wed Aug 11 20:00:49 GMT 2021","20826","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 19:57:57 GMT 2021","Wed Aug 11 19:58:20 GMT 2021","22524","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Wed Aug 11 19:56:52 GMT 2021","Wed Aug 11 19:57:25 GMT 2021","32978","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
