"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 16:43:07 GMT 2021","Tue Aug 10 16:43:26 GMT 2021","19151","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"failed","Tue Aug 10 16:42:48 GMT 2021","Tue Aug 10 16:43:06 GMT 2021","18437","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Tue Aug 10 16:42:20 GMT 2021","Tue Aug 10 16:42:37 GMT 2021","16801","test-conduit","test_4_login","","","","test_login",""
"passed","Tue Aug 10 16:41:58 GMT 2021","Tue Aug 10 16:42:00 GMT 2021","2431","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Tue Aug 10 16:42:37 GMT 2021","Tue Aug 10 16:42:48 GMT 2021","10879","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Tue Aug 10 16:43:26 GMT 2021","Tue Aug 10 16:44:08 GMT 2021","42570","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Tue Aug 10 16:41:13 GMT 2021","Tue Aug 10 16:41:37 GMT 2021","23894","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Tue Aug 10 16:41:37 GMT 2021","Tue Aug 10 16:41:58 GMT 2021","20856","test-conduit","test_12_logout","","","","test_logout",""
"passed","Tue Aug 10 16:42:12 GMT 2021","Tue Aug 10 16:42:20 GMT 2021","7872","test-conduit","test_3_registration","","","","test_registration",""
"passed","Tue Aug 10 16:42:00 GMT 2021","Tue Aug 10 16:42:12 GMT 2021","12487","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Tue Aug 10 16:44:08 GMT 2021","Tue Aug 10 16:44:24 GMT 2021","16217","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Tue Aug 10 16:40:46 GMT 2021","Tue Aug 10 16:41:13 GMT 2021","26541","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
