"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 21:54:46 GMT 2021","Wed Aug 11 21:55:16 GMT 2021","29946","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 21:54:13 GMT 2021","Wed Aug 11 21:54:46 GMT 2021","33078","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Wed Aug 11 21:55:19 GMT 2021","Wed Aug 11 21:55:39 GMT 2021","20574","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Wed Aug 11 21:55:39 GMT 2021","Wed Aug 11 21:56:00 GMT 2021","20922","test-conduit","test_3_registration","","","","test_registration",""
"passed","Wed Aug 11 21:58:10 GMT 2021","Wed Aug 11 21:58:38 GMT 2021","28703","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Wed Aug 11 21:56:00 GMT 2021","Wed Aug 11 21:56:25 GMT 2021","24854","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 21:56:25 GMT 2021","Wed Aug 11 21:56:47 GMT 2021","21524","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 21:57:14 GMT 2021","Wed Aug 11 21:57:48 GMT 2021","33550","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 21:55:16 GMT 2021","Wed Aug 11 21:55:19 GMT 2021","2464","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Wed Aug 11 21:53:35 GMT 2021","Wed Aug 11 21:54:13 GMT 2021","38097","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 21:57:48 GMT 2021","Wed Aug 11 21:58:10 GMT 2021","21850","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 21:56:47 GMT 2021","Wed Aug 11 21:57:14 GMT 2021","27476","test-conduit","test_6_modify_article","","","","test_modify_article",""
