"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 16:18:59 GMT 2021","Wed Aug 11 16:19:20 GMT 2021","20889","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 16:18:26 GMT 2021","Wed Aug 11 16:18:59 GMT 2021","33665","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 16:15:18 GMT 2021","Wed Aug 11 16:16:16 GMT 2021","58551","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Wed Aug 11 16:16:46 GMT 2021","Wed Aug 11 16:16:49 GMT 2021","2480","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Wed Aug 11 16:17:12 GMT 2021","Wed Aug 11 16:17:36 GMT 2021","24838","test-conduit","test_4_login","","","","test_login",""
"broken","Wed Aug 11 16:14:39 GMT 2021","Wed Aug 11 16:15:18 GMT 2021","38875","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 16:17:36 GMT 2021","Wed Aug 11 16:17:58 GMT 2021","21619","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 16:19:20 GMT 2021","Wed Aug 11 16:19:47 GMT 2021","26522","test-conduit","test_9_list_data","","","","test_list_data",""
"passed","Wed Aug 11 16:16:16 GMT 2021","Wed Aug 11 16:16:46 GMT 2021","29992","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 16:17:58 GMT 2021","Wed Aug 11 16:18:26 GMT 2021","27495","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Wed Aug 11 16:16:49 GMT 2021","Wed Aug 11 16:17:10 GMT 2021","21584","test-conduit","test_2_cookies","","","","test_cookies",""
"broken","Wed Aug 11 16:17:10 GMT 2021","Wed Aug 11 16:17:12 GMT 2021","1197","test-conduit","test_3_registration","","","","test_registration",""
