"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 15:51:07 GMT 2021","Wed Aug 11 15:51:46 GMT 2021","38925","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 15:54:28 GMT 2021","Wed Aug 11 15:55:01 GMT 2021","33305","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 15:52:19 GMT 2021","Wed Aug 11 15:52:48 GMT 2021","28895","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 15:52:48 GMT 2021","Wed Aug 11 15:52:51 GMT 2021","2433","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Wed Aug 11 15:53:15 GMT 2021","Wed Aug 11 15:53:40 GMT 2021","24765","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 15:53:40 GMT 2021","Wed Aug 11 15:54:01 GMT 2021","21217","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 15:55:02 GMT 2021","Wed Aug 11 15:55:23 GMT 2021","21787","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 15:51:46 GMT 2021","Wed Aug 11 15:52:19 GMT 2021","32955","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"broken","Wed Aug 11 15:53:12 GMT 2021","Wed Aug 11 15:53:15 GMT 2021","2641","test-conduit","test_3_registration","","","","test_registration",""
"failed","Wed Aug 11 15:54:01 GMT 2021","Wed Aug 11 15:54:28 GMT 2021","27293","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Wed Aug 11 15:52:51 GMT 2021","Wed Aug 11 15:53:12 GMT 2021","21527","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Wed Aug 11 15:55:23 GMT 2021","Wed Aug 11 15:55:49 GMT 2021","26089","test-conduit","test_9_list_data","","","","test_list_data",""
