"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 14:53:01 GMT 2021","Tue Aug 10 14:53:20 GMT 2021","18797","test-conduit","test_9_list_data","","","","test_list_data",""
"broken","Tue Aug 10 14:50:46 GMT 2021","Tue Aug 10 14:51:05 GMT 2021","18734","test-conduit","test_12_logout","","","","test_logout",""
"passed","Tue Aug 10 14:51:05 GMT 2021","Tue Aug 10 14:51:07 GMT 2021","2501","test-conduit","test_1_homepage","","","","test_homepage",""
"broken","Tue Aug 10 14:51:28 GMT 2021","Tue Aug 10 14:51:46 GMT 2021","18231","test-conduit","test_4_login","","","","test_login",""
"broken","Tue Aug 10 14:50:27 GMT 2021","Tue Aug 10 14:50:46 GMT 2021","18722","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Tue Aug 10 14:51:20 GMT 2021","Tue Aug 10 14:51:28 GMT 2021","8087","test-conduit","test_3_registration","","","","test_registration",""
"broken","Tue Aug 10 14:52:24 GMT 2021","Tue Aug 10 14:52:43 GMT 2021","18752","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"broken","Tue Aug 10 14:52:05 GMT 2021","Tue Aug 10 14:52:24 GMT 2021","18716","test-conduit","test_6_modify_article","","","","test_modify_article",""
"broken","Tue Aug 10 14:51:46 GMT 2021","Tue Aug 10 14:52:05 GMT 2021","18869","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"broken","Tue Aug 10 14:49:58 GMT 2021","Tue Aug 10 14:50:27 GMT 2021","28883","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Tue Aug 10 14:51:07 GMT 2021","Tue Aug 10 14:51:20 GMT 2021","12515","test-conduit","test_2_cookies","","","","test_cookies",""
"broken","Tue Aug 10 14:52:43 GMT 2021","Tue Aug 10 14:53:01 GMT 2021","18744","test-conduit","test_8_pagination","","","","test_pagination",""
