"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 11 13:30:24 GMT 2021","Wed Aug 11 13:30:44 GMT 2021","19889","test-conduit","test_6_modify_article","","","","test_modify_article",""
"passed","Wed Aug 11 13:29:42 GMT 2021","Wed Aug 11 13:29:52 GMT 2021","9389","test-conduit","test_3_registration","","","","test_registration",""
"passed","Wed Aug 11 13:28:36 GMT 2021","Wed Aug 11 13:29:03 GMT 2021","27430","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Wed Aug 11 13:29:28 GMT 2021","Wed Aug 11 13:29:42 GMT 2021","14062","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Wed Aug 11 13:29:26 GMT 2021","Wed Aug 11 13:29:28 GMT 2021","1965","test-conduit","test_1_homepage","","","","test_homepage",""
"failed","Wed Aug 11 13:27:42 GMT 2021","Wed Aug 11 13:28:36 GMT 2021","53818","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"failed","Wed Aug 11 13:30:44 GMT 2021","Wed Aug 11 13:31:07 GMT 2021","23038","test-conduit","test_7_delete_article_3","","","","test_delete_article",""
"passed","Wed Aug 11 13:29:03 GMT 2021","Wed Aug 11 13:29:26 GMT 2021","23353","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 13:29:52 GMT 2021","Wed Aug 11 13:30:10 GMT 2021","18270","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 13:30:10 GMT 2021","Wed Aug 11 13:30:24 GMT 2021","14439","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"passed","Wed Aug 11 13:31:07 GMT 2021","Wed Aug 11 13:31:22 GMT 2021","14298","test-conduit","test_8_pagination","","","","test_pagination",""
"passed","Wed Aug 11 13:31:22 GMT 2021","Wed Aug 11 13:31:42 GMT 2021","20468","test-conduit","test_9_list_data","","","","test_list_data",""
