"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 13:09:14 GMT 2021","Wed Aug 11 13:09:35 GMT 2021","21427","test-conduit","test_12_logout","","","","test_logout",""
"passed","Wed Aug 11 13:09:37 GMT 2021","Wed Aug 11 13:09:48 GMT 2021","11029","test-conduit","test_2_cookies","","","","test_cookies",""
"passed","Wed Aug 11 13:08:27 GMT 2021","Wed Aug 11 13:08:52 GMT 2021","24501","test-conduit","test_10_import_data_input_from_file","","","","test_data_input_from_file",""
"passed","Wed Aug 11 13:08:52 GMT 2021","Wed Aug 11 13:09:14 GMT 2021","22509","test-conduit","test_11_saving_data_into_file","","","","test_lementes_feluletrol",""
"passed","Wed Aug 11 13:09:49 GMT 2021","Wed Aug 11 13:09:55 GMT 2021","6396","test-conduit","test_3_registration","","","","test_registration",""
"passed","Wed Aug 11 13:09:35 GMT 2021","Wed Aug 11 13:09:37 GMT 2021","2000","test-conduit","test_1_homepage","","","","test_homepage",""
"passed","Wed Aug 11 13:09:55 GMT 2021","Wed Aug 11 13:10:12 GMT 2021","17307","test-conduit","test_4_login","","","","test_login",""
"passed","Wed Aug 11 13:10:12 GMT 2021","Wed Aug 11 13:10:23 GMT 2021","10558","test-conduit","test_5_add_new_article","","","","test_add_new_article",""
"failed","Wed Aug 11 13:10:23 GMT 2021","Wed Aug 11 13:10:42 GMT 2021","19296","test-conduit","test_6_modify_article","","","","test_modify_article",""
